Name,QTY,Source,Notes
Gobilda Mecanum Drivebase(modified),1,Gobilda,
Gobilda 6k RPM Motor,2,Gobilda,
Gobilda 1024 RPM Motor,1,Gobilda,
Gobilda Torque Servo,2,Gobilda,
Rev Control Hub,1,Rev Robotics,
Rev Expansion Hub,1,Rev Robotics,
"Andymark 2.25"" Green Compliant Wheels",2,Andymark,
"Gobilda 2.25"" Black Compliant Wheels",5,Gobilda,
55T HTD5 Belt,1,Gobilda,
16 tooth Dual Pulley,3,Gobilda,
Gobilda 96mm Rhino Wheel,2,Gobilda,
16T Sprocket Gears,2,Gobilda,
60T Gears(Acetal or Metal),4,Gobilda,
Goilda Plastic chain,1,Gobilda,exact size not counted. Build to fit
Assorted U channel,3,Gobilda,"10 hole needed for Drivebase, Rest can be matched or larger than Cad, up to hight limit"
Assorted C channel,4,Gobilda,"Can be either matched or longer than cad, until height limit"
Sonic Hubs,11,Gobilda,Can be replaced with Hyper Hubs at choice
310x8mm Hex rod,1,Gobilda
168x8mm Hex rod,3,Gobilda
Quad Block Mount,2,Gobilda
16x16mm Roller with 8mm Hex Hole,9,Gobilda,https://www.gobilda.com/intake-roller-wheel-8mm-rex-16mm-diameter-16mm-width-30a-durometer-8-pack/?srsltid=AfmBOooySuzwKq7m0xcvxAf3ZjQCm8jCgO2G5NL3Ijy5EUGSDXmD-Flt
15 hole flat beam,2,Gobilda,https://www.gobilda.com/1102-series-flat-beam-15-hole-120mm-length-2-pack/?srsltid=AfmBOooD0bDyQISyovFFBDfcpQvsu6UCFZEPKUkk35kE9S2b4m8fOPQY
3d Prints,,Your Printer,assorted
